size,range,mutations,continuation,tsp type,distribution,mutation strategy
20,[2.8],100,,euclidean,lognormal,wouter
20,[3.0],100,,euclidean,lognormal,wouter
20,[3.4],100,,euclidean,lognormal,wouter
20,[3.6],100,,euclidean,lognormal,wouter
20,[3.8],100,,euclidean,lognormal,wouter
20,[4.0],100,,euclidean,lognormal,wouter
20,[4.2],100,,euclidean,lognormal,wouter
20,[4.4],100,,euclidean,lognormal,wouter
20,[4.6],100,,euclidean,lognormal,wouter
20,[4.8],100,,euclidean,lognormal,wouter
20,[5.0],100,,euclidean,lognormal,wouter
20,[0.2],100,,euclidean,lognormal,wouter
20,[0.4],80,,euclidean,lognormal,wouter
30,[0.2],100,,euclidean,lognormal,wouter
30,[0.4],100,,euclidean,lognormal,wouter
30,[0.6],100,,euclidean,lognormal,wouter
30,[1.6],100,,euclidean,lognormal,wouter
30,[1.8],100,,euclidean,lognormal,wouter
30,[2.0],100,,euclidean,lognormal,wouter
30,[2.2],100,,euclidean,lognormal,wouter
30,[2.4],100,,euclidean,lognormal,wouter
30,[2.6],100,,euclidean,lognormal,wouter
30,[2.8],100,,euclidean,lognormal,wouter
30,[3.0],100,,euclidean,lognormal,wouter
30,[3.2],100,,euclidean,lognormal,wouter
30,[3.4],100,,euclidean,lognormal,wouter
30,[3.6],100,,euclidean,lognormal,wouter
30,[3.8],100,,euclidean,lognormal,wouter
30,[4.0],100,,euclidean,lognormal,wouter
30,[4.2],100,,euclidean,lognormal,wouter
30,[4.4],100,,euclidean,lognormal,wouter
30,[4.6],100,,euclidean,lognormal,wouter
30,[4.8],100,,euclidean,lognormal,wouter
30,[5.0],100,,euclidean,lognormal,wouter
30,[4.0],100,,euclidean,lognormal,wouter
30,[4.2],100,,euclidean,lognormal,wouter
30,[4.4],100,,euclidean,lognormal,wouter
30,[4.6],100,,euclidean,lognormal,wouter
30,[4.8],100,,euclidean,lognormal,wouter
30,[5.0],100,,euclidean,lognormal,wouter
30,[5],100,,euclidean,uniform,wouter
30,[10],95,,euclidean,uniform,wouter
30,[15],95,,euclidean,uniform,wouter
30,[20],100,,euclidean,uniform,wouter
30,[20],95,,euclidean,uniform,wouter
