file,floatingpoint/integer,iterations,optimal tour,optimal tour length
48cities_avg10_std08_49,integer,1950,[(7 42) (35 33) (44 12) (5 47) (38 6) (39 23) (33 8) (25 43) (22 28) (47 13) (34 24) (46 11) (27 7) (21 20) (14 35) (30 10) (45 25) (40 26) (4 27) (37 36) (36 45) (32 2) (29 4) (15 16) (10 31) (28 46) (26 3) (24 41) (23 19) (16 38) (20 18) (19 1) (12 21) (18 37) (17 39) (11 44) (8 17) (41 5) (0 30) (9 15) (6 40) (3 32) (2 14) (43 0) (13 22) (1 29) (31 9) (42 34)],69.0
48cities_avg10_std08_49,floatingpoint,60634,[(38 47) (5 33) (17 37) (25 39) (18 43) (24 41) (39 23) (8 40) (1 28) (22 8) (27 7) (12 21) (21 20) (30 35) (14 27) (42 32) (4 30) (16 38) (9 15) (28 46) (26 3) (34 24) (44 34) (33 12) (46 11) (3 25) (45 10) (32 2) (36 45) (47 13) (7 17) (11 44) (0 14) (41 5) (37 36) (19 1) (43 0) (6 26) (15 16) (40 6) (10 31) (20 18) (2 29) (23 19) (29 4) (13 22) (31 42) (35 9)],71.62024708483598
48cities_avg10_std08_34,integer,898,[(30 31) (42 32) (21 6) (29 14) (47 28) (10 15) (5 26) (3 39) (43 2) (0 27) (41 4) (45 20) (26 1) (35 16) (13 35) (40 34) (22 24) (38 42) (7 47) (33 36) (11 17) (39 8) (37 25) (36 30) (34 11) (31 45) (27 33) (2 10) (23 3) (28 18) (25 40) (20 37) (15 41) (19 13) (18 19) (17 22) (16 12) (32 23) (14 7) (12 46) (9 0) (8 43) (6 5) (4 29) (1 9) (44 21) (24 38) (46 44)],67.0
48cities_avg10_std08_34,floatingpoint,2386,[(45 19) (18 39) (46 14) (29 1) (21 6) (13 35) (17 22) (12 46) (30 31) (5 38) (10 15) (24 47) (7 24) (43 2) (47 28) (42 32) (15 41) (27 33) (36 30) (2 10) (23 3) (3 26) (35 16) (40 34) (37 25) (8 43) (41 4) (14 7) (33 36) (11 17) (34 11) (20 37) (6 5) (9 44) (22 0) (39 8) (38 42) (31 45) (1 9) (19 13) (28 18) (25 40) (16 12) (32 23) (4 29) (44 21) (0 27) (26 20)],69.75637965871566
48cities_avg10_std08_45,integer,419,[(37 9) (47 35) (38 7) (33 37) (31 39) (23 12) (29 28) (18 44) (22 33) (0 4) (28 24) (42 21) (46 29) (8 17) (16 26) (45 19) (39 15) (44 40) (43 47) (40 20) (20 6) (1 16) (17 46) (3 42) (21 22) (15 1) (26 32) (25 11) (11 45) (41 43) (36 25) (30 41) (9 36) (19 38) (35 10) (34 13) (32 5) (27 34) (10 2) (14 27) (13 23) (12 30) (6 14) (5 18) (4 31) (24 3) (2 8) (7 0)],78.0
48cities_avg10_std08_45,floatingpoint,2505,[(45 8) (12 19) (9 30) (25 11) (7 9) (35 10) (4 7) (47 22) (21 31) (26 32) (15 1) (0 37) (39 36) (19 38) (33 15) (18 44) (31 39) (13 23) (10 2) (44 40) (43 47) (8 17) (29 35) (5 28) (17 18) (1 46) (40 6) (20 16) (2 0) (30 41) (23 12) (36 25) (14 27) (42 21) (46 29) (11 45) (41 43) (34 13) (3 42) (28 4) (22 24) (38 33) (32 5) (27 34) (24 3) (6 14) (16 26) (37 20)],77.47429064640691
48cities_avg10_std08_15,integer,1813,[(15 4) (44 0) (41 22) (14 11) (27 45) (39 3) (37 35) (38 17) (25 27) (32 9) (11 5) (6 46) (42 30) (24 41) (30 19) (5 39) (8 25) (16 18) (1 43) (26 14) (45 29) (18 15) (46 31) (40 44) (21 33) (36 1) (35 7) (34 2) (19 28) (31 32) (29 24) (23 47) (20 42) (12 20) (10 40) (7 38) (13 36) (17 12) (9 37) (4 26) (3 8) (0 34) (47 6) (28 16) (22 21) (2 13) (33 10) (43 23)],74.0
48cities_avg10_std08_15,floatingpoint,37178,[(17 26) (8 12) (1 41) (30 19) (5 23) (39 3) (38 17) (10 39) (9 18) (4 37) (26 14) (14 2) (31 34) (19 32) (23 47) (27 11) (44 45) (0 28) (24 0) (11 46) (25 5) (22 21) (45 29) (34 25) (18 15) (7 38) (35 7) (42 30) (40 44) (21 33) (43 40) (46 31) (15 4) (33 10) (16 27) (13 36) (3 8) (12 20) (41 22) (36 1) (28 16) (20 42) (29 24) (37 35) (47 6) (2 13) (6 9) (32 43)],77.15530353616585
48cities_avg10_std08_38,integer,3671,[(16 39) (25 26) (19 42) (15 0) (22 30) (8 34) (32 13) (38 21) (6 8) (3 7) (12 10) (46 1) (5 18) (43 19) (45 27) (44 20) (27 16) (35 41) (20 46) (41 43) (28 6) (7 17) (40 37) (17 38) (1 3) (13 4) (39 44) (37 29) (34 15) (21 23) (33 40) (31 5) (29 22) (30 28) (47 2) (0 45) (26 35) (24 36) (10 32) (23 11) (4 24) (2 12) (18 9) (11 31) (9 14) (14 25) (36 33) (42 47)],66.0
48cities_avg10_std08_38,floatingpoint,7046,[(8 34) (19 47) (15 42) (36 39) (42 33) (1 23) (13 4) (16 26) (25 0) (6 8) (4 24) (2 12) (11 31) (5 18) (32 13) (10 32) (38 21) (46 1) (27 16) (24 36) (18 9) (3 7) (21 22) (29 10) (30 28) (44 20) (12 3) (47 2) (33 40) (9 14) (37 29) (39 44) (43 19) (35 41) (20 46) (41 43) (17 38) (0 45) (26 35) (40 37) (7 17) (28 6) (23 11) (14 25) (31 5) (45 27) (22 30) (34 15)],68.91341787770902
48cities_avg10_std08_41,integer,1928,[(27 33) (46 0) (38 12) (33 32) (28 25) (41 38) (39 26) (32 41) (24 15) (23 1) (21 13) (11 7) (10 45) (20 19) (8 18) (22 39) (7 37) (19 6) (4 2) (43 16) (2 28) (44 5) (30 20) (17 9) (40 8) (34 24) (36 46) (35 42) (31 3) (29 4) (26 30) (6 44) (25 21) (18 43) (15 36) (14 10) (12 23) (5 35) (1 47) (0 22) (37 34) (45 29) (16 17) (13 31) (9 11) (3 27) (42 14) (47 40)],70.0
48cities_avg10_std08_41,floatingpoint,20019,[(42 40) (47 14) (37 42) (4 2) (2 28) (30 20) (40 8) (8 19) (20 45) (29 4) (6 44) (7 38) (14 37) (10 33) (27 12) (11 26) (23 1) (12 7) (21 13) (19 6) (22 39) (28 25) (33 32) (32 41) (41 18) (36 46) (34 24) (15 36) (17 9) (0 22) (43 16) (1 34) (16 17) (5 23) (26 35) (39 30) (24 15) (25 21) (31 3) (46 0) (13 31) (9 11) (44 5) (45 29) (3 27) (18 43) (35 47) (38 10)],73.17964394261388
48cities_avg10_std08_4,integer,2975,[(43 38) (5 24) (16 1) (20 15) (6 2) (44 33) (39 8) (23 6) (14 39) (47 0) (28 36) (36 47) (8 23) (19 43) (30 4) (41 26) (25 7) (42 11) (33 34) (21 3) (32 31) (31 16) (4 14) (7 20) (37 5) (1 46) (27 9) (40 44) (38 12) (18 30) (46 35) (35 18) (10 42) (34 28) (29 13) (26 17) (22 29) (15 27) (13 40) (12 10) (17 21) (3 25) (2 19) (0 45) (45 41) (9 37) (11 22) (24 32)],71.0
48cities_avg10_std08_4,floatingpoint,17612,[(33 13) (25 28) (14 40) (29 0) (23 39) (38 12) (30 34) (42 11) (10 42) (27 9) (7 20) (36 47) (1 46) (37 5) (2 19) (34 22) (11 32) (24 2) (32 31) (5 24) (20 23) (8 43) (15 27) (40 44) (6 8) (18 30) (4 14) (46 35) (35 18) (13 4) (12 10) (26 17) (3 25) (47 33) (28 36) (31 16) (39 6) (16 15) (41 26) (44 1) (43 38) (22 29) (21 3) (17 21) (9 37) (45 41) (0 7) (19 45)],74.17203868382839
48cities_avg10_std08_9,integer,8123,[(11 27) (15 37) (6 11) (12 34) (46 22) (13 30) (9 40) (37 21) (39 13) (47 38) (36 15) (33 18) (35 4) (32 6) (43 42) (38 25) (30 47) (28 39) (23 5) (22 36) (14 9) (31 8) (2 44) (34 0) (41 19) (45 41) (26 31) (25 2) (20 32) (10 43) (24 14) (21 1) (18 7) (27 23) (17 20) (8 16) (7 45) (3 35) (5 33) (1 29) (40 3) (0 10) (42 24) (19 26) (16 12) (4 46) (29 28) (44 17)],68.0
48cities_avg10_std08_9,floatingpoint,2176,[(23 31) (18 7) (1 29) (13 40) (37 21) (39 13) (26 32) (20 43) (21 30) (34 1) (17 20) (30 47) (43 42) (12 0) (2 44) (22 36) (11 27) (15 37) (44 17) (29 28) (9 34) (35 4) (24 6) (10 14) (5 33) (45 41) (27 23) (47 38) (36 15) (33 18) (3 35) (46 22) (14 9) (25 2) (32 5) (8 16) (41 19) (38 25) (0 10) (40 3) (28 39) (31 8) (42 24) (19 26) (4 46) (16 12) (6 45) (7 11)],69.04244689829565
48cities_avg10_std08_29,integer,19306,[(30 46) (6 28) (39 42) (36 19) (32 36) (18 15) (29 22) (33 7) (31 30) (44 8) (45 44) (47 32) (28 33) (26 34) (12 2) (23 12) (21 1) (24 40) (20 21) (4 20) (19 14) (38 11) (43 25) (2 16) (1 23) (16 3) (27 9) (15 24) (14 13) (46 38) (5 27) (42 6) (40 31) (17 43) (37 18) (13 5) (11 10) (10 45) (9 37) (22 0) (7 26) (34 4) (8 39) (0 47) (3 41) (25 29) (35 17) (41 35)],68.0
