size,range,mutations,continuation,tsp type,distribution,mutation strategy
20,[70],1000,,symmetric,uniform,swap
20,[75],1000,,symmetric,uniform,swap
20,[80],1000,,symmetric,uniform,swap
20,[85],1000,,symmetric,uniform,swap
20,[90],1000,,symmetric,uniform,swap
20,[95],1000,,symmetric,uniform,swap
20,[100],1000,,symmetric,uniform,swap
30,[0.2],1000,,symmetric,lognormal,swap
30,[0.4],1000,,symmetric,lognormal,swap
30,[0.6],1000,,symmetric,lognormal,swap
30,[0.8],1000,,symmetric,lognormal,swap
30,[1.0],1000,,symmetric,lognormal,swap
30,[1.2],1000,,symmetric,lognormal,swap
30,[1.4],1000,,symmetric,lognormal,swap
30,[1.6],1000,,symmetric,lognormal,swap
30,[1.8],1000,,symmetric,lognormal,swap
30,[2.0],1000,,symmetric,lognormal,swap
30,[2.2],1000,,symmetric,lognormal,swap
30,[2.4],1000,,symmetric,lognormal,swap
30,[2.6],1000,,symmetric,lognormal,swap
30,[2.8],1000,,symmetric,lognormal,swap
30,[3.0],1000,,symmetric,lognormal,swap
30,[3.2],1000,,symmetric,lognormal,swap
30,[3.4],1000,,symmetric,lognormal,swap
30,[3.6],1000,,symmetric,lognormal,swap
30,[3.8],1000,,symmetric,lognormal,swap
30,[4.0],1000,,symmetric,lognormal,swap
30,[4.2],1000,,symmetric,lognormal,swap
30,[4.4],1000,,symmetric,lognormal,swap
30,[4.6],1000,,symmetric,lognormal,swap
30,[4.8],1000,,symmetric,lognormal,swap
30,[5.0],1000,,symmetric,lognormal,swap
30,[5],1000,,symmetric,uniform,swap
30,[10],1000,,symmetric,uniform,swap
30,[15],1000,,symmetric,uniform,swap
30,[20],1000,,symmetric,uniform,swap
30,[25],1000,,symmetric,uniform,swap
30,[30],1000,,symmetric,uniform,swap
30,[35],1000,,symmetric,uniform,swap
30,[40],1000,,symmetric,uniform,swap
30,[45],1000,,symmetric,uniform,swap
30,[50],1000,,symmetric,uniform,swap
30,[55],1000,,symmetric,uniform,swap
30,[60],1000,,symmetric,uniform,swap
30,[65],1000,,symmetric,uniform,swap
30,[70],1000,,symmetric,uniform,swap
30,[75],1000,,symmetric,uniform,swap
30,[80],1000,,symmetric,uniform,swap
30,[85],1000,,symmetric,uniform,swap
30,[90],1000,,symmetric,uniform,swap
30,[95],1000,,symmetric,uniform,swap
30,[100],1000,,symmetric,uniform,swap
20,[0.2],1000,,symmetric,lognormal,scramble
20,[0.4],1000,,symmetric,lognormal,scramble
20,[0.6],1000,,symmetric,lognormal,scramble
20,[0.8],1000,,symmetric,lognormal,scramble
20,[1.0],1000,,symmetric,lognormal,scramble
20,[1.2],1000,,symmetric,lognormal,scramble
20,[1.4],1000,,symmetric,lognormal,scramble
20,[1.6],1000,,symmetric,lognormal,scramble
20,[1.8],1000,,symmetric,lognormal,scramble
20,[2.0],1000,,symmetric,lognormal,scramble
20,[2.2],1000,,symmetric,lognormal,scramble
20,[2.4],1000,,symmetric,lognormal,scramble
20,[2.6],1000,,symmetric,lognormal,scramble
20,[2.8],1000,,symmetric,lognormal,scramble
20,[3.0],1000,,symmetric,lognormal,scramble
20,[3.2],1000,,symmetric,lognormal,scramble
20,[3.4],1000,,symmetric,lognormal,scramble
20,[3.6],1000,,symmetric,lognormal,scramble
20,[3.8],1000,,symmetric,lognormal,scramble
20,[4.0],1000,,symmetric,lognormal,scramble
20,[4.2],1000,,symmetric,lognormal,scramble
20,[4.4],1000,,symmetric,lognormal,scramble
20,[4.6],1000,,symmetric,lognormal,scramble
20,[4.8],1000,,symmetric,lognormal,scramble
20,[5.0],1000,,symmetric,lognormal,scramble
20,[5],1000,,symmetric,uniform,scramble
20,[10],1000,,symmetric,uniform,scramble
20,[15],1000,,symmetric,uniform,scramble
20,[20],1000,,symmetric,uniform,scramble
20,[25],1000,,symmetric,uniform,scramble
20,[30],1000,,symmetric,uniform,scramble
20,[35],1000,,symmetric,uniform,scramble
20,[40],1000,,symmetric,uniform,scramble
20,[45],1000,,symmetric,uniform,scramble
20,[50],1000,,symmetric,uniform,scramble
20,[55],1000,,symmetric,uniform,scramble
20,[60],1000,,symmetric,uniform,scramble
20,[65],1000,,symmetric,uniform,scramble
20,[70],1000,,symmetric,uniform,scramble
20,[75],1000,,symmetric,uniform,scramble
20,[80],1000,,symmetric,uniform,scramble
20,[85],1000,,symmetric,uniform,scramble
20,[90],1000,,symmetric,uniform,scramble
20,[95],1000,,symmetric,uniform,scramble
